Question	Answer	Source	Metadata
hva menes med bestillingsvarer	Et fåtall spesialvarer fra noen leverandører er bestillingsvarer hos oss. Disse er merket med tidligste mulige leveringstidspunkt, f.eks. «kan leveres onsdag».\n\n Det vil si at vi har det i utvalget, men at vi har **opp til to dagers bestillingstid**. Det er også noen varer (oksehaler, hjort osv.) som **ikke kan leveres alle dager**. Vi splitter aldri opp bestillingen din - isteden vil vi automatisk begrense utleveringsalternativene dine slik at det passer med det du har i handlekurven. Derfor kan det hende du får litt færre valg enn vanlig hvis du kjøper disse varene.	https://hjelp.kolonial.no/	
bestillingsvare	Et fåtall spesialvarer fra noen leverandører er bestillingsvarer hos oss. Disse er merket med tidligste mulige leveringstidspunkt, f.eks. «kan leveres onsdag».\n\n Det vil si at vi har det i utvalget, men at vi har **opp til to dagers bestillingstid**. Det er også noen varer (oksehaler, hjort osv.) som **ikke kan leveres alle dager**. Vi splitter aldri opp bestillingen din - isteden vil vi automatisk begrense utleveringsalternativene dine slik at det passer med det du har i handlekurven. Derfor kan det hende du får litt færre valg enn vanlig hvis du kjøper disse varene.	https://hjelp.kolonial.no/	
Hvordan kan jeg være sikker på at dere har lave priser?	Vi har alltid ment at det å handle på nett ikke skal være en luksus, bare smart. Da må det også være billig. Du kan være trygg på at vi aldri legger oss om kvelden uten å være sikre på at Kolonial.no har de laveste prisene på nett. Men vi stopper selvfølgelig ikke der. Kolonial.no skal være et rimelig alternativ til å gå i butikken og derfor har vi innført en prismatch med REMA 1000 på bestselgerne våre - de varene du kjøper mye av. [Les mer om prismatchen her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
lave priser	Vi har alltid ment at det å handle på nett ikke skal være en luksus, bare smart. Da må det også være billig. Du kan være trygg på at vi aldri legger oss om kvelden uten å være sikre på at Kolonial.no har de laveste prisene på nett. Men vi stopper selvfølgelig ikke der. Kolonial.no skal være et rimelig alternativ til å gå i butikken og derfor har vi innført en prismatch med REMA 1000 på bestselgerne våre - de varene du kjøper mye av. [Les mer om prismatchen her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
priser	Vi har alltid ment at det å handle på nett ikke skal være en luksus, bare smart. Da må det også være billig. Du kan være trygg på at vi aldri legger oss om kvelden uten å være sikre på at Kolonial.no har de laveste prisene på nett. Men vi stopper selvfølgelig ikke der. Kolonial.no skal være et rimelig alternativ til å gå i butikken og derfor har vi innført en prismatch med REMA 1000 på bestselgerne våre - de varene du kjøper mye av. [Les mer om prismatchen her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
prisnivå	Vi har alltid ment at det å handle på nett ikke skal være en luksus, bare smart. Da må det også være billig. Du kan være trygg på at vi aldri legger oss om kvelden uten å være sikre på at Kolonial.no har de laveste prisene på nett. Men vi stopper selvfølgelig ikke der. Kolonial.no skal være et rimelig alternativ til å gå i butikken og derfor har vi innført en prismatch med REMA 1000 på bestselgerne våre - de varene du kjøper mye av. [Les mer om prismatchen her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
pris	Vi har alltid ment at det å handle på nett ikke skal være en luksus, bare smart. Da må det også være billig. Du kan være trygg på at vi aldri legger oss om kvelden uten å være sikre på at Kolonial.no har de laveste prisene på nett. Men vi stopper selvfølgelig ikke der. Kolonial.no skal være et rimelig alternativ til å gå i butikken og derfor har vi innført en prismatch med REMA 1000 på bestselgerne våre - de varene du kjøper mye av. [Les mer om prismatchen her](https://kolonial.no/om/prismatch/)	https://hjelp.kolonial.no/	
Bestillingsfrister for hjemlevering	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
hjemlevering	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
bestillingsfrist	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
frist	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
når tid må jeg ha bestilt	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
frist for bestilling	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
hva er frist for bestilling	**Det er ingen generelle bestillingsfrister for hjemlevering.** Du kan bestille når du vil og vi tilbyr også levering samme dag og ekspresslevering i flere områder. Prisene endrer seg isteden avhengig av når du ønsker varene levert. Våre beste priser får du hvis du bestiller litt fram i tid eller til neste dag (før kl. 01:00 dagen i forveien). Det lønner seg altså å planlegge - men valget er ditt!\n\n**For tidlig hjemlevering (før kl. 14) har vi bestillingsfrist kl 18:00 virkedagen før levering.** Dette gjelder også for bedrifter.\n\n Er du i tvil om hvilke utleveringsmuligheter du har til enhver tid, opplyser vi om dette øverst på nettsiden og før du betaler. Du kan også [sjekke hvilke tider og priser som gjelder for ditt område her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
Jeg er ikke hjemme når bestillingen skal leveres	Du må være hjemme i det avtalte tidsrommet.	https://hjelp.kolonial.no/	
ikke hjemme	Du må være hjemme i det avtalte tidsrommet.	https://hjelp.kolonial.no/	
borte ved levering	Du må være hjemme i det avtalte tidsrommet.	https://hjelp.kolonial.no/	
jeg er borte ved levering	Du må være hjemme i det avtalte tidsrommet.	https://hjelp.kolonial.no/	
hva om jeg er borte ved levering	Du må være hjemme i det avtalte tidsrommet.	https://hjelp.kolonial.no/	
Jeg vil ha hentepunkt eller hjemlevering i mitt område! Kan jeg få det?	Vi utvider tilbudet så raskt vi kan. Hvis du ønsker utlevering nær deg eller har forslag til gode hentepunkter for oss i fremtiden, vil vi gjerne høre om det! Forslagene bør ha mye trafikk forbi og være enkle å "svippe innom". Det bør være enkel tilgang med bil og selvfølgelig også gjerne for kunder som går eller sykler. [Tips oss her](https://kolonial.no//kundeservice/utleveringsforslag/)	https://hjelp.kolonial.no/	
hentepunkt i området mitt	Vi utvider tilbudet så raskt vi kan. Hvis du ønsker utlevering nær deg eller har forslag til gode hentepunkter for oss i fremtiden, vil vi gjerne høre om det! Forslagene bør ha mye trafikk forbi og være enkle å "svippe innom". Det bør være enkel tilgang med bil og selvfølgelig også gjerne for kunder som går eller sykler. [Tips oss her](https://kolonial.no//kundeservice/utleveringsforslag/)	https://hjelp.kolonial.no/	
Hvordan fungerer selvbetjent henting?	Selvbetjente hentepunkter er vårt mest fleksible hentealternativ. Les mer om dette [her](https://kolonial.no/om/selvbetjent/)	https://hjelp.kolonial.no/	
selvbetjent henting	Selvbetjente hentepunkter er vårt mest fleksible hentealternativ. Les mer om dette [her](https://kolonial.no/om/selvbetjent/)	https://hjelp.kolonial.no/	
hentepunkter	Selvbetjente hentepunkter er vårt mest fleksible hentealternativ. Les mer om dette [her](https://kolonial.no/om/selvbetjent/)	https://hjelp.kolonial.no/	
Retur av tomflasker og pant	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
pant	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
tomflasker	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
hvordan leveres pant	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
tar dere i mot pant	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
hvordan virker panteordningen	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
hvordan fungerer pant	Vi kan ta imot panten din. I samarbeid med Infinitum har vi laget en pose spesielt for å ta imot pant. Kjøp posen i nettbutikken, fyll den med tomflasker, knyt igjen og send den med vår sjåfør neste gang han eller hun kommer. Du vil få beløpet for panten som en tilgodelapp (et fratrekk) på din neste handel hos oss. [Les mer om ordningen og kjøp panteposen her](https://kolonial.no/om/pant/)\n\n\n**Det er svært viktig at du ikke kaster glass i posen, og kun flasker med pantemerker.**\n\n\n####  Slik foregår det\n\n 1  Vår sjåfør scanner posen for å knytte den til deg - men også du kan scanne posen med strekkodeleseren i appen vår. Slik kan du forsikre deg at nettopp denne posen er tilknyttet din konto.  2  Når posen din ankommer vårt lager scannes den på nytt, og blir deretter hentet av Infinitum innen 5 dager fra vi har hentet posen hos deg. Den blir kjørt til et av Infinitums produksjonsanlegg for registrering.  3  Panten mates pose for pose inn i maskinene som teller opp panten. Det opprettes såkalte pantedatafiler som overfører pantebeløpene fra Infinitums systemer til våre kunder kontoer.  Ved å følge med på [brukerkontoen din](https://kolonial.no/konto/)	https://hjelp.kolonial.no/	
Når kan dere levere?	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
levering	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
åpningstid	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
hva er åpningstiden	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
hva er åpningstidene 	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
hva er leveringstidene 	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
nårtid leverer dere 	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
når tid tilbyr dere utlevering	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
hvilke leveringstid	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
hjemlevering	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
leveringstider	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
leveringer 	Vi tilbyr hjemlevering fra morgen til kveld alle dager i uken, men akkurat hva som gjelder for ditt område kan variere. [Se hvilke alternativer som gjelder for ditt postnummer her](https://kolonial.no/utlevering/)\n\n*   [Bestillingsfrister for hjemlevering](https://hjelp.kolonial.no/article/211-bestillingsfrister-for-hjemlevering)	https://hjelp.kolonial.no/	
Hva skjer om jeg ikke kan, eller glemmer, å hente varene?	Dersom du er forhindret fra å hente varene dine må du gi oss beskjed så fort du kan. Sier du fra senest 12 timer før kan vi endre utleveringstidspunkt.\n\n Alle varer oppbevares forsvarlig og separat kjølt, fryst, og tørt, men mange hentepunkter benytter [passiv kjøling](https://kolonial.no/om/selvbetjent/) og derfor er det viktig at varene hentes til bestilt tid for at de ikke skal bli ødelagt.\n\n Dersom varene ikke blir hentet må vi returnere dem. Dersom noen av varene forsvarlig kan returneres på lager får du pengene tilbake for disse varene, etter at en logistikkavgift på kr. 300,- er trukket fra.	https://hjelp.kolonial.no/	
glemmer varene	Dersom du er forhindret fra å hente varene dine må du gi oss beskjed så fort du kan. Sier du fra senest 12 timer før kan vi endre utleveringstidspunkt.\n\n Alle varer oppbevares forsvarlig og separat kjølt, fryst, og tørt, men mange hentepunkter benytter [passiv kjøling](https://kolonial.no/om/selvbetjent/) og derfor er det viktig at varene hentes til bestilt tid for at de ikke skal bli ødelagt.\n\n Dersom varene ikke blir hentet må vi returnere dem. Dersom noen av varene forsvarlig kan returneres på lager får du pengene tilbake for disse varene, etter at en logistikkavgift på kr. 300,- er trukket fra.	https://hjelp.kolonial.no/	
glemte varene	Dersom du er forhindret fra å hente varene dine må du gi oss beskjed så fort du kan. Sier du fra senest 12 timer før kan vi endre utleveringstidspunkt.\n\n Alle varer oppbevares forsvarlig og separat kjølt, fryst, og tørt, men mange hentepunkter benytter [passiv kjøling](https://kolonial.no/om/selvbetjent/) og derfor er det viktig at varene hentes til bestilt tid for at de ikke skal bli ødelagt.\n\n Dersom varene ikke blir hentet må vi returnere dem. Dersom noen av varene forsvarlig kan returneres på lager får du pengene tilbake for disse varene, etter at en logistikkavgift på kr. 300,- er trukket fra.	https://hjelp.kolonial.no/	
Trenger jeg å ha noe klart når dere kommer?	Hvis du har bestilt legemidler, alkohol eller tobakk må du kunne fremvise legetimasjon på forespørsel. Dersom du har bestilt alkohol må du også signere på at varene er levert. Det eneste du ellers må passe på er at du er hjemme i tidsperioden du har bestilt varene til.	https://hjelp.kolonial.no/	
klart når dere kommer	Hvis du har bestilt legemidler, alkohol eller tobakk må du kunne fremvise legetimasjon på forespørsel. Dersom du har bestilt alkohol må du også signere på at varene er levert. Det eneste du ellers må passe på er at du er hjemme i tidsperioden du har bestilt varene til.	https://hjelp.kolonial.no/	
må jeg ha noe når dere kommer	Hvis du har bestilt legemidler, alkohol eller tobakk må du kunne fremvise legetimasjon på forespørsel. Dersom du har bestilt alkohol må du også signere på at varene er levert. Det eneste du ellers må passe på er at du er hjemme i tidsperioden du har bestilt varene til.	https://hjelp.kolonial.no/	
Hvordan kan jeg få varene jeg bestiller?	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
utlevering	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
valg av utlevering	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
hvordan fungerer levering	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
hva med levering	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
utlevert	Hvordan du ønsker varene utlevert velger du! Vi pakker selvfølgelig bestillingen din kostnadsfritt, og du kan enten få varene levert på døra **fra kr. 0,**- eller plukke dem opp helt uten ekstra kostnader på våre praktiske hentesteder. Henter du varene selv gir vi deg i tillegg en rabatt på 3% på hele handlekurven. [Les mer om utlevering her](https://kolonial.no/utlevering/)	https://hjelp.kolonial.no/	
